[2025-11-15 21:46:31] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': 'READY', 's': 1, 'op': 0, 'd': {'v': 10, 'user_settings': {}, 'user': {'verified': True, 'username': 'FATTY_BOT', 'primary_guild': None, 'mfa_enabled': True, 'id': '1438264370248421406', 'global_name': None, 'flags': 0, 'email': None, 'discriminator': '5038', 'clan': None, 'bot': True, 'avatar': 'cb9f4797d2ad87f41fd91107688bf385'}, 'session_type': 'normal', 'session_id': '468c397b53bd636d786cc1176e958f50', 'resume_gateway_url': 'wss://gateway-us-east1-d.discord.gg', 'relationships': [], 'private_channels': [], 'presences': [], 'guilds': [{'unavailable': True, 'id': '1432463624126857290'}], 'guild_join_requests': [], 'geo_ordered_rtc_regions': ['london', 'rotterdam', 'paris', 'frankfurt', 'milan'], 'game_relationships': [], 'auth': {}, 'application': {'id': '1438264370248421406', 'flags': 557056}, '_trace': ['["gateway-prd-arm-us-east1-d-p48n",{"micros":196625,"calls":["id_created",{"micros":677,"calls":[]},"session_lookup_time",{"micros":4721,"calls":[]},"session_lookup_finished",{"micros":9,"calls":[]},"discord-sessions-prd-2-78",{"micros":190936,"calls":["start_session",{"micros":174442,"calls":["discord-api-rpc-6fd9d7b598-8kmg9",{"micros":63726,"calls":["get_user",{"micros":9201},"get_guilds",{"micros":5200},"send_scheduled_deletion_message",{"micros":20},"guild_join_requests",{"micros":2},"authorized_ip_coro",{"micros":24},"pending_payments",{"micros":61351},"apex_experiments",{"micros":39861},"user_activities",{"micros":9},"played_application_ids",{"micros":4},"linked_users",{"micros":4}]}]},"starting_guild_connect",{"micros":28,"calls":[]},"presence_started",{"micros":374,"calls":[]},"guilds_started",{"micros":79,"calls":[]},"lobbies_started",{"micros":1,"calls":[]},"guilds_connect",{"micros":1,"calls":[]},"presence_connect",{"micros":15987,"calls":[]},"connect_finished",{"micros":15996,"calls":[]},"build_ready",{"micros":14,"calls":[]},"clean_ready",{"micros":1,"calls":[]},"optimize_ready",{"micros":0,"calls":[]},"split_ready",{"micros":0,"calls":[]}]}]}]']}}
[2025-11-15 21:46:31] [DEBUG   ] discord.client: Dispatching event socket_event_type
[2025-11-15 21:46:31] [INFO    ] discord.gateway: Shard ID None has connected to Gateway (Session ID: 468c397b53bd636d786cc1176e958f50).
[2025-11-15 21:46:31] [DEBUG   ] discord.client: Dispatching event connect
[2025-11-15 21:46:31] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': 'GUILD_CREATE', 's': 2, 'op': 0, 'd': {'application_command_counts': {}, 'hub_type': None, 'explicit_content_filter': 0, 'voice_states': [], 'vanity_url_code': None, 'stage_instances': [], 'owner_configured_content_level': 0, 'activity_instances': [], 'public_updates_channel_id': None, 'region': 'deprecated', 'premium_features': None, 'profile': None, 'nsfw': False, 'owner_id': '1309678014057021472', 'embedded_activities': [], 'afk_channel_id': None, 'premium_progress_bar_enabled': False, 'banner': None, 'id': '1432463624126857290', 'mfa_level': 0, 'splash': None, 'premium_tier': 0, 'name': 'FATTY SMP', 'max_stage_video_channel_users': 50, 'home_header': None, 'preferred_locale': 'en-US', 'lazy': True, 'presences': [], 'inventory_settings': None, 'max_video_channel_users': 25, 'threads': [], 'unavailable': False, 'default_message_notifications': 0, 'member_count': 10, 'rules_channel_id': None, 'incidents_data': None, 'channels': [{'version': 1762728626717, 'type': 4, 'position': 2, 'permission_overwrites': [], 'parent_id': None, 'name': '╭・💬 Texting Channels', 'id': '1432463632381378611', 'flags': 0}, {'version': 1762728626740, 'type': 4, 'position': 3, 'permission_overwrites': [], 'parent_id': None, 'name': '╭・🗣️ Speaking Channels', 'id': '1432463632381378612', 'flags': 0}, {'version': 1762728626875, 'type': 0, 'topic': None, 'theme_color': None, 'rate_limit_per_user': 0, 'position': 5, 'permission_overwrites': [], 'parent_id': '1432463632381378611', 'nsfw': False, 'name': '⛏️・general', 'last_message_id': '1439012636288094459', 'id': '1432463632381378613', 'icon_emoji': {'name': '👋', 'id': None}, 'flags': 0}, {'voice_background_display': None, 'version': 1761600019676, 'user_limit': 0, 'type': 2, 'theme_color': None, 'status': None, 'rtc_region': None, 'rate_limit_per_user': 0, 'position': 0, 'permission_overwrites': [], 'parent_id': '1432463632381378612', 'nsfw': False, 'name': '🫂・Everyone', 'last_message_id': None, 'id': '1432463632381378614', 'icon_emoji': {'name': '🎙', 'id': None}, 'flags': 0, 'bitrate': 64000}, {'version': 1761599800502, 'type': 4, 'position': 0, 'permission_overwrites': [{'type': 0, 'id': '1432463624126857290', 'deny': '274877908992', 'allow': '0'}], 'parent_id': None, 'name': '╭・👋  Welcome', 'id': '1432465678111084728', 'flags': 0}, {'version': 1762728626757, 'type': 4, 'position': 4, 'permission_overwrites': [{'type': 0, 'id': '1432463624126857290', 'deny': '1024', 'allow': '0'}], 'parent_id': None, 'name': '╭・Mod/Admin', 'id': '1432465753940033608', 'flags': 0}, {'version': 1762728626797, 'type': 0, 'topic': None, 'rate_limit_per_user': 0, 'position': 0, 'permission_overwrites': [{'type': 0, 'id': '1432463624126857290', 'deny': '274877908992', 'allow': '0'}], 'parent_id': '1432465678111084728', 'nsfw': False, 'name': '👋・welcome', 'last_message_id': '1438265752158208183', 'id': '1432466225262235719', 'flags': 0}, {'version': 1762728626811, 'type': 0, 'topic': None, 'rate_limit_per_user': 0, 'position': 1, 'permission_overwrites': [{'type': 0, 'id': '1432463624126857290', 'deny': '274877908992', 'allow': '0'}], 'parent_id': '1432465678111084728', 'nsfw': False, 'name': '📖・rules', 'last_message_id': '1432477087842697317', 'id': '1432466261144502435', 'flags': 0}, {'version': 1762728626836, 'type': 0, 'topic': None, 'rate_limit_per_user': 0, 'position': 2, 'permission_overwrites': [{'type': 0, 'id': '1432463624126857290', 'deny': '274877908992', 'allow': '0'}], 'parent_id': '1432465678111084728', 'nsfw': False, 'name': '🔊・announments', 'last_message_id': '1437212289391661146', 'id': '1432466315880300606', 'flags': 0}, {'version': 1762728626889, 'type': 0, 'topic': None, 'rate_limit_per_user': 0, 'position': 6, 'permission_overwrites': [], 'parent_id': '1432463632381378611', 'nsfw': False, 'name': '📷・photos-and-videos', 'last_message_id': '1437605481249247352', 'id': '1432466406955548692', 'flags': 0}, {'version': 1762728626898, 'type': 0, 'topic': None, 'rate_limit_per_user': 0, 'position': 7, 'permission_overwrites': [], 'parent_id': '1432463632381378611', 'nsfw': False, 'name': '📹・memes', 'last_message_id': '1432481191063195728', 'id': '1432466424194138194', 'flags': 0}, {'version': 1761600029452, 'user_limit': 0, 'type': 2, 'status': None, 'rtc_region': None, 'rate_limit_per_user': 0, 'position': 1, 'permission_overwrites': [], 'parent_id': '1432463632381378612', 'nsfw': False, 'name': '🏡・Boner Village', 'last_message_id': None, 'id': '1432466692809687141', 'flags': 0, 'bitrate': 64000}, {'version': 1761600045318, 'user_limit': 0, 'type': 2, 'rtc_region': None, 'rate_limit_per_user': 0, 'position': 2, 'permission_overwrites': [], 'parent_id': '1432463632381378612', 'nsfw': False, 'name': '🏝️・Moderator Island and Sebs house', 'last_message_id': None, 'id': '1432466816617156751', 'flags': 0, 'bitrate': 64000}, {'version': 1761600064543, 'user_limit': 2, 'type': 2, 'status': None, 'rtc_region': None, 'rate_limit_per_user': 0, 'position': 3, 'permission_overwrites': [], 'parent_id': '1432463632381378612', 'nsfw': False, 'name': '🕵️\u200d♂️・2 people private channel', 'last_message_id': None, 'id': '1432466926864568320', 'flags': 0, 'bitrate': 64000}, {'version': 1762728626923, 'type': 0, 'topic': None, 'rate_limit_per_user': 0, 'position': 8, 'permission_overwrites': [{'type': 0, 'id': '1432463624126857290', 'deny': '1024', 'allow': '0'}], 'parent_id': '1432465753940033608', 'nsfw': False, 'name': 'mod', 'last_message_id': None, 'id': '1432467054593572955', 'flags': 0}, {'version': 1762728626934, 'type': 0, 'topic': None, 'rate_limit_per_user': 0, 'position': 9, 'permission_overwrites': [{'type': 0, 'id': '1432463624126857290', 'deny': '1024', 'allow': '0'}], 'parent_id': '1432465753940033608', 'nsfw': False, 'name': 'admin', 'last_message_id': None, 'id': '1432467079058948278', 'flags': 0}, {'version': 1762728626944, 'type': 0, 'topic': None, 'rate_limit_per_user': 0, 'position': 10, 'permission_overwrites': [{'type': 0, 'id': '1432463624126857290', 'deny': '1024', 'allow': '0'}], 'parent_id': '1432465753940033608', 'nsfw': False, 'name': 'logs', 'last_message_id': '1435760757601210478', 'id': '1432467094817079397', 'flags': 0}, {'version': 1762728790204, 'type': 4, 'position': 1, 'permission_overwrites': [{'type': 0, 'id': '1432463624126857290', 'deny': '70643622090752', 'allow': '0'}], 'parent_id': None, 'name': '╭・🖥️ Server', 'id': '1437212668149629079', 'flags': 0}, {'version': 1762728790204, 'type': 0, 'topic': None, 'rate_limit_per_user': 0, 'position': 3, 'permission_overwrites': [{'type': 0, 'id': '1432463624126857290', 'deny': '70643622090752', 'allow': '0'}], 'parent_id': '1437212668149629079', 'nsfw': False, 'name': '✅・online', 'last_message_id': '1437528553913847910', 'id': '1437212721618616410', 'flags': 0}, {'version': 1762728790204, 'type': 0, 'topic': None, 'rate_limit_per_user': 0, 'position': 4, 'permission_overwrites': [{'type': 0, 'id': '1432463624126857290', 'deny': '70643622090752', 'allow': '0'}], 'parent_id': '1437212668149629079', 'nsfw': False, 'name': '❌・offline', 'last_message_id': '1437547770159304775', 'id': '1437212746058957023', 'flags': 0}, {'version': 1762729202829, 'type': 0, 'topic': None, 'rate_limit_per_user': 0, 'position': 11, 'permission_overwrites': [{'type': 0, 'id': '1432463624126857290', 'deny': '70643622090752', 'allow': '0'}], 'parent_id': '1437212668149629079', 'nsfw': False, 'name': '🗨️・minecraft-chat', 'last_message_id': None, 'id': '1437215187332759653', 'flags': 0}], 'premium_subscription_count': 0, 'description': 'Our Bedrock Minecraft Server Discord Server!!!!', 'roles': [{'version': 1761597666621, 'unicode_emoji': None, 'tags': {}, 'position': 0, 'permissions': '2248370319511105', 'name': '@everyone', 'mentionable': False, 'managed': False, 'id': '1432463624126857290', 'icon': None, 'hoist': False, 'flags': 0, 'colors': {'tertiary_color': None, 'secondary_color': None, 'primary_color': 0}, 'color': 0}, {'version': 1761597566601, 'unicode_emoji': None, 'tags': {}, 'position': 1, 'permissions': '0', 'name': 'peseant', 'mentionable': True, 'managed': False, 'id': '1432467616852869311', 'icon': None, 'hoist': True, 'flags': 0, 'colors': {'tertiary_color': None, 'secondary_color': None, 'primary_color': 3066993}, 'color': 3066993}, {'version': 1761597806374, 'unicode_emoji': None, 'tags': {}, 'position': 2, 'permissions': '8', 'name': 'Moderator', 'mentionable': True, 'managed': False, 'id': '1432468257994182687', 'icon': None, 'hoist': True, 'flags': 0, 'colors': {'tertiary_color': None, 'secondary_color': None, 'primary_color': 7419530}, 'color': 7419530}, {'version': 1762979728455, 'unicode_emoji': None, 'tags': {}, 'position': 5, 'permissions': '8', 'name': 'Bot', 'mentionable': True, 'managed': False, 'id': '1432468413166649456', 'icon': None, 'hoist': True, 'flags': 0, 'colors': {'tertiary_color': None, 'secondary_color': None, 'primary_color': 12745742}, 'color': 12745742}, {'version': 1762979728450, 'unicode_emoji': None, 'tags': {}, 'position': 3, 'permissions': '8', 'name': 'GOD', 'mentionable': True, 'managed': False, 'id': '1432468537070321755', 'icon': None, 'hoist': True, 'flags': 0, 'colors': {'tertiary_color': None, 'secondary_color': None, 'primary_color': 10038562}, 'color': 10038562}, {'version': 1762979728453, 'unicode_emoji': None, 'tags': {'bot_id': '678344927997853742'}, 'position': 4, 'permissions': '1101596716286', 'name': 'Sapphire', 'mentionable': False, 'managed': True, 'id': '1432471934066753690', 'icon': None, 'hoist': False, 'flags': 0, 'colors': {'tertiary_color': None, 'secondary_color': None, 'primary_color': 0}, 'color': 0}, {'version': 1762979728458, 'unicode_emoji': None, 'tags': {'bot_id': '1438264370248421406'}, 'position': 6, 'permissions': '8', 'name': 'FATTY_BOT', 'mentionable': False, 'managed': True, 'id': '1438265748806959146', 'icon': None, 'hoist': False, 'flags': 0, 'colors': {'tertiary_color': None, 'secondary_color': None, 'primary_color': 0}, 'color': 0}], 'moderator_reporting': None, 'verification_level': 0, 'members': [{'user': {'username': 'FATTY_BOT', 'public_flags': 0, 'primary_guild': None, 'id': '1438264370248421406', 'global_name': None, 'display_name_styles': None, 'display_name': None, 'discriminator': '5038', 'collectibles': None, 'bot': True, 'avatar_decoration_data': None, 'avatar': 'cb9f4797d2ad87f41fd91107688bf385'}, 'roles': ['1432468413166649456', '1438265748806959146', '1432467616852869311'], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2025-11-12T20:34:36.273000+00:00', 'flags': 0, 'deaf': False, 'communication_disabled_until': None, 'banner': None, 'avatar': None}], 'guild_scheduled_events': [], 'soundboard_sounds': [], 'large': False, 'discovery_splash': None, 'safety_alerts_channel_id': None, 'emojis': [], 'max_members': 25000000, 'system_channel_flags': 0, 'version': 1761607161883, 'joined_at': '2025-11-12T20:34:36.273000+00:00', 'stickers': [], 'system_channel_id': '1432463632381378613', 'latest_onboarding_question_id': None, 'nsfw_level': 0, 'icon': '79c7881ecf5fa1433048a387ca27d038', 'features': ['SOUNDBOARD'], 'afk_timeout': 300, 'application_id': None}}
[2025-11-15 21:46:31] [DEBUG   ] discord.client: Dispatching event socket_event_type
[2025-11-15 21:46:31] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': 'GUILD_MEMBERS_CHUNK', 's': 3, 'op': 0, 'd': {'nonce': '8b9f3ef726bf179013d2f01536c5f91a', 'members': [{'user': {'username': 'Sapphire', 'public_flags': 589824, 'primary_guild': None, 'id': '678344927997853742', 'global_name': None, 'display_name_styles': None, 'display_name': None, 'discriminator': '8184', 'collectibles': None, 'bot': True, 'avatar_decoration_data': None, 'avatar': '37e0fb2dcf8d219aa92bf02f47ea60eb'}, 'roles': ['1432468413166649456', '1432471934066753690'], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2025-10-27T20:52:03.166000+00:00', 'flags': 0, 'deaf': False, 'communication_disabled_until': None, 'banner': None, 'avatar': None}, {'user': {'username': 'smgfan134', 'public_flags': 256, 'primary_guild': {'tag': 'DBGS', 'identity_guild_id': '1371358431570563174', 'identity_enabled': True, 'badge': '18aacac870ce115a9194863e04f4ddbb'}, 'id': '965536480648921129', 'global_name': 'crow', 'display_name_styles': None, 'display_name': 'crow', 'discriminator': '0', 'collectibles': None, 'bot': False, 'avatar_decoration_data': {'sku_id': '1416166649005871265', 'expires_at': 1764288000, 'asset': 'a_1bb935d2475c15b79d48a27deb060b70'}, 'avatar': '9658e3bae40f90983111ad639b2a247c'}, 'roles': ['1432467616852869311'], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2025-10-28T13:35:01.800000+00:00', 'flags': 0, 'deaf': False, 'communication_disabled_until': None, 'banner': None, 'avatar': None}, {'user': {'username': 'narutoxsusuke', 'public_flags': 0, 'primary_guild': None, 'id': '1028298742127931503', 'global_name': 'narutoxsusuke', 'display_name_styles': None, 'display_name': 'narutoxsusuke', 'discriminator': '0', 'collectibles': None, 'bot': False, 'avatar_decoration_data': None, 'avatar': 'bc00e485941b51feb14e7fed1b363deb'}, 'roles': ['1432467616852869311'], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2025-10-27T21:44:38.628000+00:00', 'flags': 0, 'deaf': False, 'communication_disabled_until': None, 'banner': None, 'avatar': None}, {'user': {'username': 'captain_aarav', 'public_flags': 64, 'primary_guild': {'tag': 'VTSM', 'identity_guild_id': '703923823887515720', 'identity_enabled': True, 'badge': '5410c0c04f21555354039fd700661550'}, 'id': '1309678014057021472', 'global_name': 'Captain Aarav', 'display_name_styles': {'font_id': 6, 'effect_id': 2, 'colors': [16095292, 15031015]}, 'display_name': 'Captain Aarav', 'discriminator': '0', 'collectibles': {'nameplate': {'sku_id': '1409983105577783410', 'palette': 'violet', 'label': 'COLLECTIBLES_SEPTEMBER_2025_MARKETING_NAMEPLATE_A11Y', 'expires_at': None, 'asset': 'nameplates/special_events_2/nitro_rocketfuel_nameplate/'}}, 'bot': False, 'avatar_decoration_data': None, 'avatar': 'a6baa13be9a46df5a0ae47794680750a'}, 'roles': ['1432468537070321755'], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2025-10-27T20:19:02.233000+00:00', 'flags': 0, 'deaf': False, 'communication_disabled_until': None, 'banner': None, 'avatar': None}, {'user': {'username': 'jitterysharky_7', 'public_flags': 0, 'primary_guild': {'tag': None, 'identity_guild_id': None, 'identity_enabled': False, 'badge': None}, 'id': '1376613180469542936', 'global_name': 'Jitterysharky_7', 'display_name_styles': None, 'display_name': 'Jitterysharky_7', 'discriminator': '0', 'collectibles': None, 'bot': False, 'avatar_decoration_data': None, 'avatar': 'c67f901938796e13821e2bd579da6272'}, 'roles': ['1432467616852869311'], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2025-10-27T21:21:57.378000+00:00', 'flags': 0, 'deaf': False, 'communication_disabled_until': None, 'banner': None, 'avatar': None}, {'user': {'username': 'yokey_teddyreal', 'public_flags': 0, 'primary_guild': None, 'id': '1393165440414384220', 'global_name': 'Yokey_teddy', 'display_name_styles': None, 'display_name': 'Yokey_teddy', 'discriminator': '0', 'collectibles': None, 'bot': False, 'avatar_decoration_data': None, 'avatar': '058d9cc58980a710d008b6f80103e16f'}, 'roles': ['1432467616852869311'], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2025-10-27T21:46:12.274000+00:00', 'flags': 0, 'deaf': False, 'communication_disabled_until': None, 'banner': None, 'avatar': None}, {'user': {'username': 'm0r0n08', 'public_flags': 0, 'primary_guild': {'tag': 'INK', 'identity_guild_id': '1378223432503656529', 'identity_enabled': True, 'badge': '48d2557a1faf9a790dde3ad334e56efb'}, 'id': '1394760043408392304', 'global_name': 'Harv.', 'display_name_styles': None, 'display_name': 'Harv.', 'discriminator': '0', 'collectibles': None, 'bot': False, 'avatar_decoration_data': None, 'avatar': 'be0e47134215d77ace6944e5a463d69c'}, 'roles': ['1432467616852869311'], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2025-11-10T10:28:50.058000+00:00', 'flags': 1, 'deaf': False, 'communication_disabled_until': None, 'banner': None, 'avatar': None}, {'user': {'username': 'clownpops', 'public_flags': 0, 'primary_guild': None, 'id': '1419315361186054257', 'global_name': 'clownpop', 'display_name_styles': None, 'display_name': 'clownpop', 'discriminator': '0', 'collectibles': None, 'bot': False, 'avatar_decoration_data': None, 'avatar': 'b46f0e6e0d8c4014f78c4d7db105f451'}, 'roles': ['1432467616852869311'], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2025-10-27T21:25:45.913000+00:00', 'flags': 0, 'deaf': False, 'communication_disabled_until': None, 'banner': None, 'avatar': None}, {'user': {'username': 'british_avgeeek', 'public_flags': 4194304, 'primary_guild': {'tag': 'VTSM', 'identity_guild_id': '703923823887515720', 'identity_enabled': True, 'badge': '5410c0c04f21555354039fd700661550'}, 'id': '1431027824982229133', 'global_name': 'British Avgeek', 'display_name_styles': {'font_id': 6, 'effect_id': 2, 'colors': [16095292, 15031015]}, 'display_name': 'British Avgeek', 'discriminator': '0', 'collectibles': None, 'bot': False, 'avatar_decoration_data': None, 'avatar': 'a6afb73d8861194209217a96107f4a4c'}, 'roles': ['1432468537070321755', '1432467616852869311'], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2025-11-05T22:06:43.862000+00:00', 'flags': 0, 'deaf': False, 'communication_disabled_until': None, 'banner': None, 'avatar': None}, {'user': {'username': 'FATTY_BOT', 'public_flags': 0, 'primary_guild': None, 'id': '1438264370248421406', 'global_name': None, 'display_name_styles': None, 'display_name': None, 'discriminator': '5038', 'collectibles': None, 'bot': True, 'avatar_decoration_data': None, 'avatar': 'cb9f4797d2ad87f41fd91107688bf385'}, 'roles': ['1432468413166649456', '1438265748806959146', '1432467616852869311'], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2025-11-12T20:34:36.273000+00:00', 'flags': 0, 'deaf': False, 'communication_disabled_until': None, 'banner': None, 'avatar': None}], 'guild_id': '1432463624126857290', 'chunk_index': 0, 'chunk_count': 1}}
[2025-11-15 21:46:31] [DEBUG   ] discord.client: Dispatching event socket_event_type
[2025-11-15 21:46:31] [DEBUG   ] discord.state: Processed a chunk for 10 members in guild ID 1432463624126857290.
[2025-11-15 21:46:33] [DEBUG   ] discord.client: Dispatching event guild_available
